year,metric,amount,label
2011,total_pool,25005635,A$25.0m
2012,total_pool,26000000,A$26.0m
2013,total_pool,30000000,A$30.0m
2014,total_pool,33000000,A$33.0m
2015,total_pool,40000000,A$40.0m
2016,total_pool,44000000,A$44.0m
2017,total_pool,50000000,A$50.0m
2018,total_pool,55000000,A$55.0m
2019,total_pool,62500000,A$62.5m
2020,total_pool,71000000,A$71.0m
2021,total_pool,71500000,A$71.5m
2022,total_pool,74000000,A$74.0m
2023,total_pool,76500000,A$76.5m
2024,total_pool,86500000,A$86.5m
2025,total_pool,96500000,A$96.5m
2026,total_pool,111500000,A$111.5m
2011,winner_prize,2200000,A$2.20m
2012,winner_prize,2300000,A$2.30m
2013,winner_prize,2430000,A$2.43m
2014,winner_prize,2650000,A$2.65m
2015,winner_prize,3100000,A$3.10m
2016,winner_prize,3400000,A$3.40m
2017,winner_prize,3700000,A$3.70m
2018,winner_prize,4000000,A$4.00m
2019,winner_prize,4100000,A$4.10m
2020,winner_prize,4120000,A$4.12m
2021,winner_prize,2750000,A$2.75m
2022,winner_prize,2875000,A$2.88m
2023,winner_prize,2975000,A$2.98m
2024,winner_prize,3150000,A$3.15m
2025,winner_prize,3500000,A$3.50m
2026,winner_prize,4150000,A$4.15m
2011,runner_up_prize,1100000,A$1.10m
2012,runner_up_prize,1150000,A$1.15m
2013,runner_up_prize,1215000,A$1.22m
2014,runner_up_prize,1325000,A$1.33m
2015,runner_up_prize,1550000,A$1.55m
2016,runner_up_prize,1700000,A$1.70m
2017,runner_up_prize,1900000,A$1.90m
2018,runner_up_prize,2000000,A$2.00m
2019,runner_up_prize,2050000,A$2.05m
2020,runner_up_prize,2065000,A$2.07m
2021,runner_up_prize,1500000,A$1.50m
2022,runner_up_prize,1575000,A$1.58m
2023,runner_up_prize,1625000,A$1.63m
2024,runner_up_prize,1725000,A$1.73m
2025,runner_up_prize,1900000,A$1.90m
2026,runner_up_prize,2150000,A$2.15m
2011,round1_prize,20000,A$20k
2012,round1_prize,20000,A$20k
2013,round1_prize,27600,A$27.6k
2014,round1_prize,30000,A$30k
2015,round1_prize,34500,A$34.5k
2016,round1_prize,38500,A$38.5k
2017,round1_prize,50000,A$50k
2018,round1_prize,60000,A$60k
2019,round1_prize,75000,A$75k
2020,round1_prize,90000,A$90k
2021,round1_prize,100000,A$100k
2022,round1_prize,103000,A$103k
2023,round1_prize,106250,A$106.25k
2024,round1_prize,120000,A$120k
2025,round1_prize,132000,A$132k
2026,round1_prize,150000,A$150k
